run,symbol,entry_date,entry_price,exit_date,exit_price,qty,exit_reason
ml_net,NEULANDLAB,2026-05-08T00:00:00+00:00,17666,2026-05-15T00:00:00+00:00,16590,2,rank_dropout
ml_net,KAYNES,2026-05-08T00:00:00+00:00,4507.5,2026-05-15T00:00:00+00:00,3271.9,5,rank_dropout
ml_net,OLAELEC,2026-03-06T00:00:00+00:00,24.07,2026-05-22T00:00:00+00:00,36.01,5,rank_dropout
ml_net,GABRIEL,2026-04-30T00:00:00+00:00,1025.6,2026-05-22T00:00:00+00:00,1120,48,rank_dropout
ml_net,ABFRL,2026-02-01T00:00:00+00:00,64.78,2026-05-29T00:00:00+00:00,64.61,771,rank_dropout
ml_net,GALLANTT,2026-05-08T00:00:00+00:00,869.25,2026-05-29T00:00:00+00:00,669.45,57,rank_dropout
ml_net,MCX,2026-05-22T00:00:00+00:00,3269.9,2026-05-29T00:00:00+00:00,2954.5,15,rank_dropout
ml_net,BSE,2026-05-22T00:00:00+00:00,4193.8,2026-05-29T00:00:00+00:00,4146.1,1,rank_dropout
ml_net,NETWEB,2025-08-14T00:00:00+00:00,2125,2026-06-05T00:00:00+00:00,4666,23,rank_dropout
ml_net,ADANIPOWER,2026-05-29T00:00:00+00:00,243.37,2026-06-05T00:00:00+00:00,232.6,5,rank_dropout
ml_net,HINDCOPPER,2025-12-26T00:00:00+00:00,475.6,2026-06-12T00:00:00+00:00,510,105,rank_dropout
ml_net,RPOWER,2026-03-13T00:00:00+00:00,22.25,2026-06-12T00:00:00+00:00,26.61,2247,rank_dropout
ml_net,IDEA,2026-05-22T00:00:00+00:00,13.73,2026-06-12T00:00:00+00:00,14.9,60,rank_dropout
ml_net,POWERINDIA,2026-05-29T00:00:00+00:00,38445,2026-06-12T00:00:00+00:00,34325,1,rank_dropout
ml_net,ZENTEC,2026-04-24T00:00:00+00:00,1674.4,2026-06-19T00:00:00+00:00,1997,29,rank_dropout
ml_net,ATHERENERG,2026-05-15T00:00:00+00:00,937.4,2026-06-19T00:00:00+00:00,971.7,53,rank_dropout
ml_net,OLAELEC,2026-06-05T00:00:00+00:00,44.88,2026-06-19T00:00:00+00:00,42.25,1114,rank_dropout
ml_net,ELECON,2026-06-12T00:00:00+00:00,536.85,2026-06-19T00:00:00+00:00,539.05,93,rank_dropout
ml_net,NETWEB,2026-06-12T00:00:00+00:00,4587.4,2026-06-19T00:00:00+00:00,5060.9,10,rank_dropout
ml_net,SCI,2026-04-30T00:00:00+00:00,304.48,2026-06-25T00:00:00+00:00,311.8,164,rank_dropout
ml_net,TARIL,2026-06-12T00:00:00+00:00,315.1,2026-06-25T00:00:00+00:00,334.45,35,rank_dropout
ml_net,POWERINDIA,2026-06-19T00:00:00+00:00,36880,2026-06-25T00:00:00+00:00,33965,1,rank_dropout
ml_net,SPLPETRO,2026-06-05T00:00:00+00:00,697.95,2026-07-03T00:00:00+00:00,725,71,rank_dropout
ml_net,IFCI,2026-06-19T00:00:00+00:00,85.73,2026-07-03T00:00:00+00:00,75.91,583,rank_dropout
ml_net,J&KBANK,2026-06-19T00:00:00+00:00,163.56,2026-07-03T00:00:00+00:00,165.2,305,rank_dropout
ml_net,APARINDS,2026-06-19T00:00:00+00:00,16280,2026-07-03T00:00:00+00:00,14174,3,rank_dropout
ml_net,GALLANTT,2026-06-12T00:00:00+00:00,654.35,2026-07-10T00:00:00+00:00,667.6,76,rank_dropout
ml_net,OLAELEC,2026-07-03T00:00:00+00:00,44.48,2026-07-10T00:00:00+00:00,40.41,1124,rank_dropout
ml_net,PARADEEP,2026-07-03T00:00:00+00:00,146.59,2026-07-10T00:00:00+00:00,141.81,270,rank_dropout
ml_net,CARTRADE,2026-06-25T00:00:00+00:00,2694.4,2026-07-17T00:00:00+00:00,2699.4,18,rank_dropout
ml_net,COHANCE,2026-06-25T00:00:00+00:00,458.05,2026-07-24T00:00:00+00:00,417.1,109,rank_dropout
ml_net,HONASA,2026-07-03T00:00:00+00:00,461.75,2026-07-24T00:00:00+00:00,448.6,108,rank_dropout
ml_net,NEWGEN,2026-02-20T00:00:00+00:00,556.9,2026-07-27T00:00:00+00:00,506,89,rank_dropout
